species_common_name,species_encoded,year,population,population_rolling_avg,population_rolling_std,population_cv,population_change_rate,population_relative_to_peak,population_relative_to_baseline,cumulative_change_rate,is_declining,is_growing,overall_trend_encoded,iucn_status_numeric,taxonomic_group_encoded,region_encoded,years_since_baseline,conservation_urgency,risk_level,risk_level_encoded,taxon_Aquatic Mammal,taxon_Bird,taxon_Mammal,taxon_Marine Mammal,taxon_Reptile,region_encoded,region_Africa,region_China,region_Global Oceans,region_India,region_North America,region_Usa,species_pop_mean,species_pop_std,species_pop_min,species_pop_max,species_change_mean,species_change_std,species_decline_years
Asian Elephant,1,2004,26897,26643.333333333332,253.50016436549708,0.00951458142245075,0.9533460946590022,0.9151440917287605,1.122298255862472,11.599666380240082,0,1,1.0,3,2,3,11,3.02860038283977,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2005,27150,26896.666666666668,253.50016436549708,0.00942496583339309,0.9406253485518823,0.9237521690313362,1.13285487774347,12.540291728791964,0,1,1.0,3,2,3,12,3.0282187604565562,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2006,27404,27150.333333333332,253.50016436549708,0.009336907994947742,0.9355432780847162,0.9323942703548705,1.1434532254026537,13.475835006876679,0,1,1.0,3,2,3,13,3.0280662983425417,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2007,27657,27403.666666666668,253.50016436549708,0.00925059290236694,0.9232228871697501,0.9410023476574462,1.1540098472836517,14.399057894046429,0,1,1.0,3,2,3,14,3.0276966866150925,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2008,28004,27688.333333333332,301.2247223143115,0.010879120772201666,1.254655240987823,0.9528086829301486,1.1684886923141116,15.653713135034252,0,1,1.0,3,2,3,15,3.0376396572296347,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2009,28351,28004.0,347.0000000000015,0.012391086987573213,1.2391086987573185,0.9646150182028512,1.1829675373445714,16.892821833791572,0,1,1.0,3,2,3,16,3.0371732609627196,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2010,28697,28350.666666666668,346.5001202501004,0.012221939057873978,1.2204155056259047,0.9763873294545949,1.1974046565968455,18.113237339417477,0,1,1.0,3,2,3,17,3.036612465168777,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2011,29044,28697.333333333332,346.5001202501004,0.012074296807488474,1.2091856291598369,0.9881936647272975,1.2118835016273053,19.322422968577314,0,1,1.0,3,2,3,18,3.036275568874795,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2012,29391,29044.0,347.0000000000015,0.011947390166643724,1.1947390166643812,1.0,1.2263623466577651,20.517161985241696,0,1,1.0,3,2,3,19,3.035842170499931,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2013,28975,29136.666666666668,222.9446867124994,0.007651688137941836,-1.4153992718859532,0.9858460072811405,1.2090044229324877,19.101762713355743,1,0,1.0,3,2,3,20,3.0424619781565783,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
